Rank,Team,GM,W-L,FGM,FGA,FG%
271,St. Bonaventure (Atlantic 10),32,14-18,769,"1,794",42.9
272,UCF (AAC),34,19-15,848,"1,980",42.8
273,UMES (MEAC),31,18-13,776,"1,812",42.8
274,LIU (NEC),29,3-26,720,"1,683",42.8
275,Oklahoma St. (Big 12),36,20-16,875,"2,046",42.8
276,Utah (Pac-12),32,17-15,791,"1,851",42.7
277,DePaul (Big East),33,10-23,838,"1,961",42.7
278,California Baptist (WAC),33,17-16,811,"1,898",42.7
279,Hartford (DI Independent),28,5-23,659,"1,543",42.7
280,Texas Southern (SWAC),35,14-21,894,"2,095",42.7
281,Northern Ky. (Horizon),35,22-13,851,"1,997",42.6
282,Saint Joseph's (Atlantic 10),33,16-17,818,"1,920",42.6
283,Elon (CAA),32,8-24,762,"1,791",42.5
284,Vanderbilt (SEC),37,22-15,930,"2,187",42.5
285,Temple (AAC),32,16-16,754,"1,774",42.5
286,Mount St. Mary's (MAAC),33,13-20,771,"1,818",42.4
287,La Salle (Atlantic 10),34,15-19,863,"2,037",42.4
288,Washington St. (Pac-12),34,17-17,813,"1,919",42.4
289,Georgia Tech (ACC),33,15-18,855,"2,019",42.3
290,South Carolina St. (MEAC),31,5-26,838,"1,980",42.3
291,Georgetown (Big East),32,7-25,818,"1,934",42.3
292,Ole Miss (SEC),33,12-21,816,"1,933",42.2
293,SMU (AAC),32,10-22,810,"1,919",42.2
294,Central Conn. St. (NEC),32,10-22,791,"1,874",42.2
295,Canisius (MAAC),30,10-20,763,"1,809",42.2
296,Mississippi St. (SEC),34,21-13,816,"1,936",42.1
297,Louisville (ACC),32,4-28,716,"1,700",42.1
298,Arizona St. (Pac-12),36,23-13,910,"2,163",42.1
299,Presbyterian (Big South),32,5-27,718,"1,709",42
300,Fordham (Atlantic 10),33,25-8,797,"1,901",41.9
301,Jackson St. (SWAC),33,14-19,800,"1,911",41.9
302,Northeastern (CAA),30,10-20,712,"1,704",41.8
303,Old Dominion (Sun Belt),31,19-12,735,"1,760",41.8
304,N.C. A&T (CAA),32,13-19,806,"1,931",41.7
305,Georgia St. (Sun Belt),31,10-21,745,"1,789",41.6
306,UIC (MVC),32,12-20,747,"1,794",41.6
307,VMI (SoCon),32,7-25,800,"1,923",41.6
308,Central Mich. (MAC),31,10-21,702,"1,688",41.6
309,Austin Peay (ASUN),31,9-22,743,"1,790",41.5
310,Massachusetts (Atlantic 10),31,15-16,775,"1,868",41.5
311,Wisconsin (Big Ten),35,20-15,831,"2,005",41.4
312,Bethune-Cookman (SWAC),32,12-20,772,"1,863",41.4
312,UT Arlington (WAC),32,11-21,772,"1,863",41.4
314,Delaware St. (MEAC),30,6-24,714,"1,725",41.4
315,UAlbany (America East),31,8-23,726,"1,755",41.4
316,CSU Bakersfield (Big West),33,11-22,732,"1,770",41.4
317,Stony Brook (CAA),33,11-22,726,"1,756",41.3
318,Cal Poly (Big West),33,8-25,715,"1,733",41.3
318,Tulsa (AAC),30,5-25,715,"1,733",41.3
320,Boston U. (Patriot),32,15-17,761,"1,845",41.2
321,Central Ark. (ASUN),31,9-22,818,"1,987",41.2
322,Fairfield (MAAC),31,13-18,690,"1,681",41
323,Oregon St. (Pac-12),32,11-21,676,"1,647",41
324,Georgia (SEC),32,16-16,728,"1,774",41
325,UTSA (CUSA),32,10-22,749,"1,826",41
326,LSU (SEC),33,14-19,768,"1,875",41
327,Marist (MAAC),33,13-20,745,"1,819",41
328,Alcorn (SWAC),32,18-14,763,"1,868",40.8
329,ULM (Sun Belt),32,11-21,759,"1,860",40.8
330,Lafayette (Patriot),34,11-23,767,"1,881",40.8
331,Northwestern (Big Ten),34,22-12,801,"1,968",40.7
332,Mississippi Val. (SWAC),32,5-27,683,"1,681",40.6
333,East Carolina (AAC),33,16-17,769,"1,896",40.6
