Rank,Team,GM,W-L,FT,FTA,FT%
284,East Carolina (AAC),33,15-18,463,669,69.2
285,UTEP (CUSA),34,18-16,558,809,69
286,Dartmouth (Ivy League),27,6-21,291,422,69
287,Minnesota (Big Ten),34,19-15,462,670,69
288,South Carolina St. (MEAC),32,14-18,477,692,68.9
289,Cincinnati (Big 12),37,22-15,439,638,68.8
290,Penn (Ivy League),29,11-18,322,468,68.8
291,UIC (MVC),33,12-21,344,500,68.8
292,Houston (Big 12),37,32-5,472,687,68.7
293,Longwood (Big South),35,21-14,552,804,68.7
294,SMU (AAC),33,20-13,416,606,68.6
295,Idaho St. (Big Sky),34,14-20,429,625,68.6
296,Portland St. (Big Sky),32,17-15,447,652,68.6
297,Fresno St. (Mountain West),33,12-21,380,555,68.5
298,California Baptist (WAC),33,16-17,478,700,68.3
299,ETSU (SoCon),35,19-16,498,730,68.2
300,Air Force (Mountain West),31,9-22,324,475,68.2
301,Colgate (Patriot),35,25-10,368,540,68.1
302,Loyola Chicago (Atlantic 10),33,23-10,428,629,68
303,App State (Sun Belt),34,27-7,447,657,68
304,Eastern Ky. (ASUN),31,17-14,427,628,68
305,New Mexico St. (CUSA),32,13-19,418,617,67.7
306,LIU (NEC),29,7-22,360,532,67.7
307,Utah Valley (WAC),32,16-16,443,655,67.6
308,Saint Mary's (CA) (WCC),34,26-8,386,571,67.6
309,Kennesaw St. (ASUN),31,15-16,460,682,67.4
310,Southern U. (SWAC),32,18-14,440,653,67.4
311,Lafayette (Patriot),32,11-21,295,438,67.4
312,NIU (MAC),31,11-20,442,658,67.2
313,Mississippi St. (SEC),35,21-14,508,758,67
314,FIU (CUSA),33,11-22,381,569,67
315,Bryant (America East),33,20-13,417,623,66.9
316,Mercer (SoCon),33,16-17,378,565,66.9
317,CSUN (Big West),34,19-15,506,757,66.8
318,Cleveland St. (Horizon),36,21-15,475,711,66.8
319,Eastern Mich. (MAC),31,13-18,303,454,66.7
320,Siena (MAAC),32,4-28,361,541,66.7
321,Binghamton (America East),30,15-15,397,595,66.7
322,ULM (Sun Belt),30,11-19,442,665,66.5
323,Coastal Carolina (Sun Belt),31,9-22,409,616,66.4
324,Indiana (Big Ten),33,19-14,462,696,66.4
325,Presbyterian (Big South),33,14-19,465,701,66.3
326,Old Dominion (Sun Belt),32,7-25,365,551,66.2
327,Fordham (Atlantic 10),33,13-20,464,701,66.2
328,Holy Cross (Patriot),33,10-23,315,476,66.2
329,Liberty (CUSA),32,18-14,312,472,66.1
330,Towson (CAA),34,20-14,444,672,66.1
331,Central Mich. (MAC),32,18-14,347,526,66
