Rank,Team,GM,W-L,PTS,PPG
266,Harvard (Ivy League),27,14-13,"1,900",70.4
267,UTRGV (WAC),31,6-25,"2,181",70.4
268,UIC (MVC),33,12-21,"2,319",70.3
269,Villanova (Big East),34,18-16,"2,388",70.2
270,Prairie View (SWAC),31,10-21,"2,176",70.2
271,Texas Southern (SWAC),33,16-17,"2,316",70.2
272,South Carolina St. (MEAC),32,14-18,"2,245",70.2
273,Davidson (Atlantic 10),32,15-17,"2,242",70.1
274,Jacksonville St. (CUSA),32,14-18,"2,240",70
275,Southern Miss. (Sun Belt),32,16-16,"2,236",69.9
276,ULM (Sun Belt),30,11-19,"2,096",69.9
277,Texas St. (Sun Belt),35,17-18,"2,445",69.9
278,William & Mary (CAA),33,10-23,"2,305",69.8
279,West Virginia (Big 12),32,9-23,"2,234",69.8
280,Murray St. (MVC),32,12-20,"2,232",69.8
281,San Jose St. (Mountain West),32,9-23,"2,228",69.6
282,Chicago St. (DI Independent),32,13-19,"2,224",69.5
283,Northeastern (CAA),32,12-20,"2,221",69.4
284,East Carolina (AAC),33,15-18,"2,287",69.3
285,North Texas (AAC),34,19-15,"2,353",69.2
286,Merrimack (NEC),33,21-12,"2,283",69.2
287,Arizona St. (Pac-12),32,14-18,"2,209",69
287,Green Bay (Horizon),32,18-14,"2,209",69
287,Southeastern La. (Southland),32,15-17,"2,209",69
290,Maryland (Big Ten),33,16-17,"2,278",69
291,Alabama A&M (SWAC),35,12-23,"2,414",69
292,Eastern Ill. (OVC),32,14-18,"2,204",68.9
292,Oregon St. (Pac-12),32,13-19,"2,204",68.9
292,VMI (SoCon),32,4-28,"2,204",68.9
295,Western Ill. (OVC),33,21-12,"2,272",68.8
296,Charlotte (AAC),31,19-12,"2,131",68.7
297,CSU Bakersfield (Big West),32,13-19,"2,199",68.7
297,Utah Valley (WAC),32,16-16,"2,199",68.7
299,American (Patriot),32,16-16,"2,198",68.7
300,Northern Ariz. (Big Sky),33,14-19,"2,265",68.6
301,Alabama St. (SWAC),32,13-19,"2,195",68.6
302,Buffalo (MAC),31,4-27,"2,108",68
303,NJIT (America East),28,7-21,"1,902",67.9
304,Vanderbilt (SEC),32,9-23,"2,173",67.9
