Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
Dartmouth (Ivy League),,191,626,23.2,374,13.9,5,898,33.26,291,422,69.0,200,7.41,7.1,6,21,22.2,938,34.7,-1.5,"1,940",71.9,-10.0,698,25.85,252,9.33,332,344,0.97,30.5,594,"1,447",41.1,10.8,719,"1,584",45.4,673,245,36.4,"1,670",61.9,15.6
Davidson (Atlantic 10),,235,749,23.4,511,16.0,8,"1,109",34.66,441,602,73.3,295,9.22,7.3,15,17,46.9,"1,128",35.3,-0.6,"2,174",67.9,2.1,814,25.44,375,11.72,403,338,1.19,31.4,783,"1,816",43.1,13.8,761,"1,798",42.3,756,252,33.3,"2,242",70.1,18.8
Dayton (Atlantic 10),7,310,777,23.5,447,13.5,3,"1,107",33.55,476,643,74.0,265,8.03,9.4,25,8,75.8,"1,081",32.8,0.8,"2,193",66.5,7.7,842,25.52,342,10.36,483,343,1.41,39.9,831,"1,752",47.4,14.4,816,"1,948",41.9,782,250,32.0,"2,448",74.2,19.5
DePaul (Big East),,200,597,18.7,482,15.1,8,951,29.72,421,574,73.3,233,7.28,6.3,3,29,9.4,"1,169",36.5,-6.8,"2,616",81.8,-17.0,718,22.44,318,9.94,392,435,0.9,33.5,725,"1,714",42.3,13.2,949,"1,948",48.7,801,305,38.1,"2,071",64.7,17.9
Delaware (CAA),,227,678,20.5,496,15.0,10,"1,178",35.7,407,576,70.7,304,9.21,6.9,19,14,57.6,"1,136",34.4,1.3,"2,299",69.7,3.5,874,26.48,334,10.12,454,356,1.28,33.5,891,"1,917",46.5,12.3,848,"1,991",42.6,723,224,31.0,"2,416",73.2,17.5
Delaware St. (MEAC),,158,494,14.5,574,16.9,11,"1,170",34.41,541,766,70.6,385,11.32,4.6,15,19,44.1,"1,098",32.3,2.1,"2,415",71.0,-0.4,785,23.09,531,15.62,413,503,0.82,32.0,851,"1,961",43.4,15.9,831,"1,914",43.4,764,277,36.3,"2,401",70.6,22.5
Denver (Summit League),,294,845,24.9,573,16.9,8,"1,213",35.68,569,779,73.0,348,10.24,8.6,17,17,50.0,"1,252",36.8,-1.1,"2,737",80.5,0.5,865,25.44,362,10.65,444,340,1.31,34.8,946,"2,103",45.0,16.7,993,"2,133",46.6,749,265,35.4,"2,755",81.0,22.9
Detroit Mercy (Horizon),,187,666,20.8,553,17.3,17,945,29.53,402,547,73.5,286,8.94,5.8,1,31,3.1,"1,172",36.6,-7.1,"2,568",80.3,-14.3,659,20.59,380,11.88,346,427,0.81,28.1,761,"1,806",42.1,12.6,921,"1,878",49.0,699,259,37.1,"2,111",66.0,17.1
Drake (MVC),10,300,819,23.4,570,16.3,7,"1,202",34.34,513,681,75.3,278,7.94,8.6,28,7,80.0,"1,147",32.8,1.6,"2,463",70.4,9.5,924,26.4,431,12.31,559,337,1.66,36.6,992,"2,079",47.7,14.7,885,"2,000",44.3,775,257,33.2,"2,797",79.9,19.5
Drexel (CAA),,216,628,19.6,491,15.3,4,"1,253",39.16,408,565,72.2,369,11.53,6.8,20,12,62.5,999,31.2,7.9,"2,130",66.6,6.8,884,27.63,289,9.03,406,346,1.17,34.4,861,"1,886",45.7,12.8,784,"1,874",41.8,662,209,31.6,"2,346",73.3,17.7
Duke (ACC),4,298,791,22.0,571,15.9,8,"1,319",36.64,524,725,72.3,383,10.64,8.3,27,9,75.0,"1,136",31.6,5.1,"2,387",66.3,12.3,936,26.0,407,11.31,551,349,1.58,37.7,"1,004","2,112",47.5,14.6,884,"2,055",43.0,713,227,31.8,"2,830",78.6,20.1
Duquesne (Atlantic 10),11,279,821,22.2,634,17.1,13,"1,288",34.81,490,681,72.0,389,10.51,7.5,25,12,67.6,"1,268",34.3,0.5,"2,467",66.7,3.9,899,24.3,485,13.11,497,433,1.15,34.0,921,"2,110",43.6,13.2,862,"2,037",42.3,768,244,31.8,"2,611",70.6,18.4
ETSU (SoCon),,272,876,25.0,638,18.2,22,"1,350",38.57,498,730,68.2,486,13.89,7.8,19,16,54.3,"1,254",35.8,2.7,"2,435",69.6,1.9,864,24.69,468,13.37,399,433,0.92,31.1,866,"2,131",40.6,14.2,849,"1,961",43.3,749,245,32.7,"2,502",71.5,20.9
East Carolina (AAC),,218,696,21.1,516,15.6,5,"1,154",34.97,463,669,69.2,393,11.91,6.6,15,18,45.5,"1,141",34.6,0.4,"2,319",70.3,-1.0,761,23.06,415,12.58,406,358,1.13,31.3,803,"1,903",42.2,14.0,810,"1,835",44.1,788,258,32.7,"2,287",69.3,20.3
Eastern Ill. (OVC),,179,560,17.5,567,17.7,16,"1,131",35.34,381,521,73.1,349,10.91,5.6,14,18,43.8,"1,135",35.5,-0.1,"2,172",67.9,1.0,782,24.44,454,14.19,413,331,1.25,32.0,822,"1,951",42.1,11.9,757,"1,721",44.0,637,224,35.2,"2,204",68.9,16.3
Eastern Ky. (ASUN),,243,678,21.9,502,16.2,5,"1,244",40.13,427,628,68.0,410,13.23,7.8,17,14,54.8,"1,135",36.6,3.5,"2,371",76.5,4.3,834,26.9,350,11.29,453,356,1.27,35.8,917,"1,993",46.0,13.8,847,"1,984",42.7,677,253,37.4,"2,504",80.8,20.3
Eastern Mich. (MAC),,178,585,18.9,508,16.4,14,"1,069",34.48,303,454,66.7,321,10.35,5.7,13,18,41.9,"1,129",36.4,-1.9,"2,252",72.6,-6.6,748,24.13,331,10.68,321,361,0.89,30.4,783,"1,825",42.9,9.8,820,"1,819",45.1,712,225,31.6,"2,047",66.0,14.6
Eastern Wash. (Big Sky),,273,749,23.4,579,18.1,14,"1,083",33.84,525,681,77.1,258,8.06,8.5,21,11,65.6,"1,009",31.5,2.3,"2,407",75.2,5.6,825,25.78,384,12.0,562,422,1.33,36.4,894,"1,783",50.1,16.4,836,"1,912",43.7,781,281,36.0,"2,586",80.8,21.3
