Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
Sam Houston (CUSA),,245,697,21.1,596,18.1,9,"1,255",38.03,480,663,72.4,393,11.91,7.4,21,12,63.6,"1,133",34.3,3.7,"2,282",69.2,3.0,862,26.12,445,13.48,425,435,0.98,35.2,828,"1,948",42.5,14.5,794,"1,862",42.6,726,230,31.7,"2,381",72.2,20.1
Samford (SoCon),13,351,889,25.4,667,19.1,12,"1,252",35.77,553,765,72.3,371,10.6,10.0,29,6,82.9,"1,255",35.9,-0.1,"2,607",74.5,11.6,881,25.17,583,16.66,619,455,1.36,39.5,"1,054","2,152",49.0,15.8,897,"2,068",43.4,822,278,33.8,"3,012",86.1,21.9
San Diego (WCC),,233,677,20.5,628,19.0,13,"1,128",34.18,461,633,72.8,331,10.03,7.1,18,15,54.5,"1,237",37.5,-3.3,"2,550",77.3,-4.8,797,24.15,439,13.3,432,437,0.99,34.4,849,"1,978",42.9,14.0,885,"1,941",45.6,776,261,33.6,"2,392",72.5,19.2
San Diego St. (Mountain West),5,259,822,22.2,647,17.5,9,"1,398",37.78,575,784,73.3,432,11.68,7.0,26,11,70.3,"1,245",33.6,4.1,"2,467",66.7,7.4,966,26.11,460,12.43,481,413,1.16,31.5,954,"2,167",44.0,15.5,857,"2,117",40.5,867,269,31.0,"2,742",74.1,21.2
San Francisco (WCC),,293,825,24.3,622,18.3,12,"1,159",34.09,360,477,75.5,320,9.41,8.6,23,11,67.6,"1,030",30.3,3.8,"2,262",66.5,11.2,839,24.68,473,13.91,554,392,1.41,35.5,995,"2,044",48.7,10.6,776,"1,814",42.8,692,231,33.4,"2,643",77.7,14.0
San Jose St. (Mountain West),,267,778,24.3,547,17.1,9,986,30.81,297,423,70.2,252,7.88,8.3,9,23,28.1,"1,147",35.8,-5.0,"2,403",75.1,-5.5,734,22.94,343,10.72,433,336,1.29,34.3,832,"1,856",44.8,9.3,854,"1,804",47.3,638,247,38.7,"2,228",69.6,13.2
Santa Clara (WCC),,271,766,23.2,584,17.7,8,"1,296",39.27,443,620,71.5,397,12.03,8.2,20,13,60.6,"1,065",32.3,7.0,"2,384",72.2,4.7,899,27.24,337,10.21,497,422,1.18,35.4,912,"1,984",46.0,13.4,843,"1,984",42.5,733,230,31.4,"2,538",76.9,18.8
Seattle U (WAC),,281,811,21.9,683,18.5,23,"1,369",37.0,537,730,73.6,373,10.08,7.6,23,14,62.2,"1,210",32.7,4.3,"2,471",66.8,7.0,996,26.92,457,12.35,481,470,1.02,34.6,956,"2,143",44.6,14.5,871,"2,115",41.2,720,210,29.2,"2,730",73.8,19.7
Seton Hall (Big East),,229,681,18.4,562,15.2,5,"1,379",37.27,527,674,78.2,445,12.03,6.2,25,12,67.6,"1,202",32.5,4.8,"2,587",69.9,3.9,934,25.24,450,12.16,481,466,1.03,33.6,987,"2,184",45.2,14.2,926,"2,193",42.2,931,307,33.0,"2,730",73.8,18.2
Siena (MAAC),,169,603,18.8,491,15.3,5,"1,132",35.38,361,541,66.7,375,11.72,5.3,4,28,12.5,"1,100",34.4,1.0,"2,382",74.4,-14.0,757,23.66,318,9.94,342,505,0.68,28.0,702,"1,758",39.9,11.3,880,"1,922",45.8,656,231,35.2,"1,934",60.4,16.9
South Alabama (Sun Belt),,239,692,21.6,532,16.6,9,"1,057",33.03,458,611,75.0,254,7.94,7.5,16,16,50.0,"1,238",38.7,-5.7,"2,421",75.7,-1.7,803,25.09,388,12.13,341,362,0.94,34.5,835,"1,886",44.3,14.3,874,"1,948",44.9,694,220,31.7,"2,367",74.0,19.1
South Carolina (SEC),6,274,809,23.8,550,16.2,5,"1,210",35.59,446,627,71.1,387,11.38,8.1,26,8,76.5,"1,111",32.7,2.9,"2,297",67.6,4.5,823,24.21,332,9.76,524,344,1.52,33.9,865,"1,970",43.9,13.1,825,"1,913",43.1,599,203,33.9,"2,450",72.1,18.4
South Carolina St. (MEAC),,200,620,19.4,666,20.8,9,"1,203",37.59,477,692,68.9,477,14.91,6.3,14,18,43.8,"1,075",33.6,4.0,"2,390",74.7,-4.5,726,22.69,487,15.22,435,487,0.89,32.3,784,"1,914",41.0,14.9,778,"1,719",45.3,644,219,34.0,"2,245",70.2,21.6
South Dakota (Summit League),,251,669,20.9,511,16.0,12,"1,198",37.44,433,583,74.3,334,10.44,7.8,12,20,37.5,"1,102",34.4,3.0,"2,535",79.2,-3.2,864,27.0,281,8.78,391,411,0.95,37.5,875,"1,916",45.7,13.5,930,"2,063",45.1,796,286,35.9,"2,434",76.1,18.2
South Dakota St. (Summit League),15,300,823,23.5,501,14.3,7,"1,240",35.43,421,593,71.0,289,8.26,8.6,22,13,62.9,"1,173",33.5,1.9,"2,490",71.1,5.3,951,27.17,395,11.29,450,395,1.14,36.5,977,"2,029",48.2,12.0,876,"2,079",42.1,978,341,34.9,"2,675",76.4,16.9
South Fla. (AAC),,295,804,24.4,568,17.2,7,"1,189",36.03,530,719,73.7,328,9.94,8.9,25,8,75.8,"1,213",36.8,-0.7,"2,288",69.3,6.4,861,26.09,420,12.73,491,356,1.38,36.7,837,"1,900",44.1,16.1,806,"1,924",41.9,730,230,31.5,"2,499",75.7,21.8
Southeast Mo. St. (OVC),,192,631,20.4,606,19.5,8,984,31.74,358,512,69.9,279,9.0,6.2,9,22,29.0,"1,120",36.1,-4.4,"2,278",73.5,-6.5,705,22.74,392,12.65,383,371,1.03,30.4,764,"1,848",41.3,11.5,802,"1,733",46.3,522,160,30.7,"2,078",67.0,16.5
Southeastern La. (Southland),,235,677,21.2,523,16.3,9,"1,120",35.0,446,613,72.8,343,10.72,7.3,15,17,46.9,"1,074",33.6,1.4,"2,271",71.0,-1.9,777,24.28,382,11.94,463,442,1.05,34.7,764,"1,769",43.2,13.9,800,"1,848",43.3,823,265,32.2,"2,209",69.0,19.2
Southern California (Pac-12),,252,709,21.5,560,17.0,10,"1,123",34.03,450,649,69.3,331,10.03,7.6,15,18,45.5,"1,189",36.0,-2.0,"2,452",74.3,-0.2,792,24.0,438,13.27,515,418,1.23,35.5,872,"1,932",45.1,13.6,855,"1,981",43.2,768,280,36.5,"2,446",74.1,19.7
Southern Ill. (MVC),,264,761,23.8,579,18.1,10,"1,055",32.97,479,629,76.2,270,8.44,8.3,19,13,59.4,"1,023",32.0,1.0,"2,183",68.2,4.4,785,24.53,346,10.81,456,356,1.28,34.7,791,"1,746",45.3,15.0,789,"1,747",45.2,537,163,30.4,"2,325",72.7,19.7
Southern Miss. (Sun Belt),,201,614,19.2,550,17.2,19,"1,177",36.78,485,693,70.0,343,10.72,6.3,16,16,50.0,"1,172",36.6,0.2,"2,273",71.0,-1.2,834,26.06,392,12.25,376,411,0.91,32.7,775,"1,826",42.4,15.2,814,"1,889",43.1,663,226,34.1,"2,236",69.9,21.7
Southern U. (SWAC),,221,684,21.4,631,19.7,18,"1,020",31.88,440,653,67.4,312,9.75,6.9,18,14,56.3,"1,064",33.3,-1.4,"2,198",68.7,2.4,708,22.13,528,16.5,440,456,0.96,32.3,807,"1,829",44.1,13.8,729,"1,676",43.5,606,193,31.8,"2,275",71.1,20.4
Southern Utah (WAC),,195,649,20.9,548,17.7,12,"1,049",33.84,491,674,72.8,322,10.39,6.3,10,21,32.3,"1,158",37.4,-3.5,"2,406",77.6,-2.6,727,23.45,388,12.52,375,373,1.01,30.0,820,"1,861",44.1,15.8,904,"1,894",47.7,522,178,34.1,"2,326",75.0,21.7
St. Bonaventure (Atlantic 10),,251,687,20.8,553,16.8,16,"1,087",32.94,467,603,77.4,320,9.7,7.6,20,13,60.6,"1,060",32.1,0.8,"2,265",68.6,4.8,767,23.24,426,12.91,412,358,1.15,36.5,853,"1,872",45.6,14.2,798,"1,799",44.4,732,245,33.5,"2,424",73.5,18.3
St. John's (NY) (Big East),,237,696,21.1,593,18.0,9,"1,279",38.76,425,584,72.8,476,14.42,7.2,20,13,60.6,"1,106",33.5,5.2,"2,374",71.9,6.9,803,24.33,426,12.91,518,360,1.44,34.1,970,"2,139",45.3,12.9,824,"1,904",43.3,683,239,35.0,"2,602",78.8,17.7
Stanford (Pac-12),,286,774,24.2,490,15.3,10,"1,097",34.28,393,540,72.8,248,7.75,8.9,14,18,43.8,"1,140",35.6,-1.3,"2,447",76.5,-0.1,849,26.53,358,11.19,515,410,1.26,37.0,882,"1,886",46.8,12.3,913,"2,020",45.2,759,271,35.7,"2,443",76.3,16.9
Stetson (ASUN),16,313,857,24.5,516,14.7,9,"1,216",34.74,474,619,76.6,339,9.69,8.9,22,13,62.9,"1,214",34.7,0.1,"2,566",73.3,3.5,877,25.06,335,9.57,465,369,1.26,36.5,950,"2,053",46.3,13.5,957,"2,168",44.1,823,276,33.5,"2,687",76.8,17.7
Stony Brook (CAA),,277,775,22.1,532,15.2,4,"1,280",36.57,454,614,73.9,336,9.6,7.9,20,15,57.1,"1,299",37.1,-0.5,"2,531",72.3,1.2,944,26.97,370,10.57,424,359,1.18,35.7,921,"2,101",43.8,13.0,908,"2,148",42.3,901,313,34.7,"2,573",73.5,17.5
Syracuse (ACC),,219,651,20.3,493,15.4,9,"1,064",33.25,457,634,72.1,277,8.66,6.8,20,12,62.5,"1,203",37.6,-4.3,"2,420",75.6,0.7,787,24.59,463,14.47,442,364,1.21,33.6,883,"1,915",46.1,14.3,899,"1,964",45.8,732,250,34.2,"2,442",76.3,19.8
TCU (Big 12),9,224,632,18.6,593,17.4,4,"1,263",37.15,535,732,73.1,433,12.74,6.6,21,13,61.8,"1,103",32.4,4.7,"2,439",71.7,7.3,830,24.41,501,14.74,575,438,1.31,35.4,964,"2,089",46.1,15.7,867,"1,932",44.9,678,224,33.0,"2,687",79.0,21.5
Temple (AAC),,296,931,25.9,610,16.9,13,"1,304",36.22,503,709,70.9,406,11.28,8.2,16,20,44.4,"1,400",38.9,-2.7,"2,624",72.9,-2.0,898,24.94,430,11.94,402,357,1.13,31.8,876,"2,214",39.6,14.0,912,"2,085",43.7,807,259,32.1,"2,551",70.9,19.7
Tennessee (SEC),2,315,915,25.4,629,17.5,9,"1,393",38.69,563,750,75.1,419,11.64,8.8,27,9,75.0,"1,265",35.1,3.6,"2,426",67.4,11.4,974,27.06,469,13.03,600,367,1.63,34.4,979,"2,223",44.0,15.6,814,"2,091",38.9,859,268,31.2,"2,836",78.8,20.8
Tennessee St. (OVC),,217,667,20.2,644,19.5,15,"1,144",34.67,519,687,75.5,327,9.91,6.6,18,15,54.5,"1,173",35.5,-0.9,"2,343",71.0,1.7,817,24.76,443,13.42,396,436,0.91,32.5,832,"1,881",44.2,15.7,790,"1,873",42.2,632,208,32.9,"2,400",72.7,20.8
Tennessee Tech (OVC),,202,608,19.6,421,13.6,4,957,30.87,371,522,71.1,191,6.16,6.5,10,21,32.3,"1,113",35.9,-5.0,"2,289",73.8,-6.5,766,24.71,323,10.42,379,369,1.03,33.2,758,"1,692",44.8,12.0,857,"1,867",45.9,690,243,35.2,"2,089",67.4,16.8
Texas (Big 12),7,245,691,20.3,587,17.3,12,"1,179",34.68,454,600,75.7,339,9.97,7.2,21,13,61.8,"1,158",34.1,0.6,"2,342",68.9,6.5,840,24.71,438,12.88,512,393,1.3,35.5,932,"1,988",46.9,13.4,826,"1,940",42.6,637,214,33.6,"2,563",75.4,17.6
Texas A&M (SEC),9,255,869,24.1,611,17.0,16,"1,541",42.81,629,890,70.7,627,17.42,7.1,21,15,58.3,"1,212",33.7,9.1,"2,591",72.0,4.0,914,25.39,409,11.36,412,346,1.19,29.3,926,"2,304",40.2,17.5,898,"2,095",42.9,940,318,33.8,"2,736",76.0,24.7
Texas Southern (SWAC),,242,766,23.2,610,18.5,16,"1,165",35.3,432,597,72.4,365,11.06,7.3,16,17,48.5,"1,202",36.4,-1.1,"2,346",71.1,-0.9,800,24.24,418,12.67,384,415,0.93,31.6,821,"1,980",41.5,13.1,799,"1,882",42.5,684,221,32.3,"2,316",70.2,18.1
Texas St. (Sun Belt),,159,488,13.9,617,17.6,9,"1,243",35.51,520,747,69.6,388,11.09,4.5,17,18,48.6,"1,182",33.8,1.7,"2,452",70.1,-0.2,855,24.43,453,12.94,413,470,0.88,32.6,883,"1,988",44.4,14.9,853,"1,954",43.7,687,220,32.0,"2,445",69.9,21.3
Texas Tech (Big 12),6,289,804,23.6,508,14.9,8,"1,188",34.94,518,664,78.0,338,9.94,8.5,23,11,67.6,"1,148",33.8,1.2,"2,368",69.6,5.7,850,25.0,389,11.44,501,378,1.33,35.9,877,"1,943",45.1,15.2,864,"2,009",43.0,776,250,32.2,"2,561",75.3,19.5
The Citadel (SoCon),,197,600,18.8,447,14.0,6,"1,094",34.19,425,602,70.6,300,9.38,6.2,11,21,34.4,"1,034",32.3,1.9,"2,289",71.5,-0.9,794,24.81,354,11.06,359,385,0.93,32.8,819,"1,782",46.0,13.3,860,"1,878",45.8,749,263,35.1,"2,260",70.6,18.8
Toledo (MAC),,207,550,17.2,498,15.6,8,"1,081",33.78,513,680,75.4,318,9.94,6.5,20,12,62.5,"1,076",33.6,0.2,"2,436",76.1,3.9,763,23.84,418,13.06,430,342,1.26,37.6,920,"1,926",47.8,16.0,916,"1,909",48.0,710,242,34.1,"2,560",80.0,21.3
Towson (CAA),,216,659,19.4,565,16.6,12,"1,337",39.32,444,672,66.1,491,14.44,6.4,20,14,58.8,"1,050",30.9,8.4,"2,164",63.6,3.9,846,24.88,375,11.03,381,413,0.92,32.8,818,"1,934",42.3,13.1,770,"1,833",42.0,676,222,32.8,"2,296",67.5,19.8
Troy (Sun Belt),,276,787,24.6,611,19.1,14,"1,230",38.44,552,753,73.3,427,13.34,8.6,20,12,62.5,"1,097",34.3,4.2,"2,261",70.7,8.9,803,25.09,496,15.5,438,441,0.99,35.1,859,"1,950",44.1,17.3,777,"1,815",42.8,609,213,35.0,"2,546",79.6,23.5
Tulane (AAC),,233,653,21.1,530,17.1,9,"1,030",33.23,595,813,73.2,217,7.0,7.5,14,17,45.2,"1,222",39.4,-6.2,"2,481",80.0,1.9,813,26.23,401,12.94,440,347,1.27,35.7,856,"1,798",47.6,19.2,869,"1,999",43.5,838,292,34.8,"2,540",81.9,26.2
Tulsa (AAC),,239,731,23.6,543,17.5,8,"1,091",35.19,528,717,73.6,270,8.71,7.7,16,15,51.6,"1,175",37.9,-2.7,"2,290",73.9,1.1,821,26.48,402,12.97,392,403,0.97,32.7,779,"1,775",43.9,17.0,800,"1,872",42.7,721,233,32.3,"2,325",75.0,23.1
UAB (AAC),12,215,658,18.8,555,15.9,15,"1,329",37.97,622,834,74.6,451,12.89,6.1,23,12,65.7,"1,215",34.7,3.3,"2,627",75.1,2.4,878,25.09,403,11.51,473,406,1.17,32.7,937,"2,085",44.9,17.8,943,"2,122",44.4,779,268,34.4,"2,711",77.5,23.8
UAlbany (America East),,250,757,23.7,621,19.4,19,"1,153",36.03,431,594,72.6,364,11.38,7.8,13,19,40.6,"1,152",36.0,0.0,"2,521",78.8,-0.1,789,24.66,415,12.97,411,425,0.97,33.0,918,"2,059",44.6,13.5,907,"1,944",46.7,576,167,29.0,"2,517",78.7,18.6
UC Davis (Big West),,230,684,20.7,633,19.2,11,"1,102",33.39,523,699,74.8,327,9.91,7.0,20,13,60.6,"1,115",33.8,-0.4,"2,246",68.1,3.2,775,23.48,481,14.58,411,444,0.93,33.6,799,"1,808",44.2,15.8,777,"1,803",43.1,601,192,31.9,"2,351",71.2,21.2
UC Irvine (Big West),,197,565,16.6,624,18.4,4,"1,287",37.85,508,675,75.3,360,10.59,5.8,24,10,70.6,"1,120",32.9,4.9,"2,321",68.3,9.4,927,27.26,421,12.38,529,393,1.35,34.9,967,"2,035",47.5,14.9,817,"1,984",41.2,603,201,33.3,"2,639",77.6,19.9
UC Riverside (Big West),,287,904,26.6,586,17.2,9,"1,256",36.94,433,604,71.7,420,12.35,8.4,16,18,47.1,"1,209",35.6,1.4,"2,448",72.0,-1.3,836,24.59,377,11.09,446,326,1.37,31.7,842,"2,122",39.7,12.7,877,"1,901",46.1,632,225,35.6,"2,404",70.7,17.8
UC Santa Barbara (Big West),,187,519,16.7,511,16.5,11,"1,081",34.87,498,677,73.6,252,8.13,6.0,16,15,51.6,993,32.0,2.8,"2,280",73.5,1.8,829,26.74,310,10.0,417,405,1.03,36.0,826,"1,684",49.0,16.1,848,"1,871",45.3,636,208,32.7,"2,337",75.4,21.8
UCF (Big 12),,225,698,21.2,601,18.2,19,"1,243",37.67,507,723,70.1,408,12.36,6.8,17,16,51.5,"1,140",34.5,3.1,"2,242",67.9,3.8,835,25.3,469,14.21,375,413,0.91,32.2,817,"1,945",42.0,15.4,741,"1,800",41.2,712,242,34.0,"2,366",71.7,21.9
UCLA (Pac-12),,183,552,16.7,609,18.5,12,"1,115",33.79,470,644,73.0,339,10.27,5.5,16,17,48.5,"1,074",32.5,1.2,"2,160",65.5,0.5,776,23.52,388,11.76,368,358,1.03,33.2,762,"1,820",41.9,14.2,741,"1,747",42.4,748,249,33.3,"2,177",66.0,19.5
UConn (Big East),1,340,951,23.8,650,16.3,8,"1,553",38.83,562,756,74.3,469,11.73,8.5,37,3,92.5,"1,204",30.1,8.7,"2,536",63.4,18.0,"1,084",27.1,422,10.55,748,383,1.95,35.8,"1,177","2,367",49.7,14.1,894,"2,278",39.2,749,234,31.2,"3,256",81.4,18.9
UIC (MVC),,287,790,23.9,583,17.7,10,"1,110",33.64,344,500,68.8,271,8.21,8.7,12,21,36.4,"1,216",36.8,-3.2,"2,361",71.5,-1.3,839,25.42,402,12.18,459,408,1.13,36.3,844,"1,927",43.8,10.4,818,"1,920",42.6,668,212,31.7,"2,319",70.3,15.2
UIW (Southland),,236,712,23.0,589,19.0,8,"1,133",36.55,468,644,72.7,333,10.74,7.6,8,23,25.8,"1,100",35.5,1.1,"2,436",78.6,-6.3,800,25.81,346,11.16,377,495,0.76,33.1,768,"1,795",42.8,15.1,841,"1,871",44.9,639,228,35.7,"2,240",72.3,20.8
ULM (Sun Belt),,152,513,17.1,539,18.0,14,"1,133",37.77,442,665,66.5,396,13.2,5.1,11,19,36.7,"1,047",34.9,2.9,"2,233",74.4,-4.6,737,24.57,368,12.27,381,374,1.02,29.6,751,"1,788",42.0,14.7,747,"1,718",43.5,776,273,35.2,"2,096",69.9,22.2
UMBC (America East),,255,714,22.3,505,15.8,10,"1,179",36.84,352,504,69.8,304,9.5,8.0,11,21,34.4,"1,260",39.4,-2.5,"2,583",80.7,-2.1,875,27.34,364,11.38,417,418,1.0,35.7,955,"2,049",46.6,11.0,948,"2,131",44.5,769,242,31.5,"2,517",78.7,15.8
UMES (MEAC),,168,570,19.7,508,17.5,8,"1,014",34.97,386,540,71.5,315,10.86,5.8,9,20,31.0,"1,079",37.2,-2.2,"2,046",70.6,-5.4,699,24.1,395,13.62,312,399,0.78,29.5,668,"1,664",40.1,13.3,722,"1,650",43.8,585,192,32.8,"1,890",65.2,18.6
UMass Lowell (America East),,186,566,17.7,480,15.0,14,"1,305",40.78,549,746,73.6,367,11.47,5.8,22,10,68.8,"1,064",33.3,7.5,"2,261",70.7,9.4,938,29.31,378,11.81,406,425,0.96,32.9,913,"1,924",47.5,17.2,851,"2,055",41.4,701,201,28.7,"2,561",80.0,23.3
UNC Asheville (Big South),,277,759,22.3,581,17.1,9,"1,182",34.76,593,799,74.2,319,9.38,8.1,22,12,64.7,"1,204",35.4,-0.6,"2,485",73.1,5.8,863,25.38,434,12.76,534,403,1.33,36.5,906,"1,950",46.5,17.4,884,"2,054",43.0,745,240,32.2,"2,682",78.9,23.5
UNC Greensboro (SoCon),,322,812,25.4,549,17.2,6,"1,133",35.41,370,507,73.0,319,9.97,10.1,21,11,65.6,"1,083",33.8,1.6,"2,233",69.8,5.9,814,25.44,371,11.59,473,349,1.36,39.7,865,"1,878",46.1,11.6,749,"1,826",41.0,803,266,33.1,"2,422",75.7,15.8
UNCW (CAA),,258,741,23.9,527,17.0,8,"1,066",34.39,477,628,76.0,330,10.65,8.3,21,10,67.7,"1,076",34.7,-0.3,"2,202",71.0,8.4,736,23.74,383,12.35,379,266,1.42,34.8,863,"1,871",46.1,15.4,792,"1,762",44.9,645,226,35.0,"2,461",79.4,20.3
UNI (MVC),,238,690,20.9,547,16.6,7,"1,117",33.85,493,697,70.7,265,8.03,7.2,19,14,57.6,"1,092",33.1,0.8,"2,346",71.1,2.2,852,25.82,375,11.36,414,340,1.22,34.5,843,"1,849",45.6,14.9,826,"1,856",44.5,770,266,34.5,"2,417",73.2,21.1
UNLV (Mountain West),,231,685,20.1,540,15.9,12,"1,164",34.24,458,633,72.4,350,10.29,6.8,21,13,61.8,"1,148",33.8,0.5,"2,341",68.9,4.7,814,23.94,420,12.35,450,376,1.2,33.7,906,"1,959",46.2,13.5,835,"1,954",42.7,757,243,32.1,"2,501",73.6,18.6
USC Upstate (Big South),,230,691,23.0,589,19.6,14,950,31.67,340,530,64.2,262,8.73,7.7,10,20,33.3,"1,138",37.9,-6.3,"2,188",72.9,-1.9,688,22.93,403,13.43,375,346,1.08,33.3,780,"1,753",44.5,11.3,737,"1,649",44.7,599,189,31.6,"2,130",71.0,17.7
UT Arlington (WAC),,305,861,25.3,706,20.8,22,"1,275",37.5,549,747,73.5,404,11.88,9.0,20,14,58.8,"1,143",33.6,3.9,"2,492",73.3,3.6,871,25.62,465,13.68,536,526,1.02,35.4,880,"1,981",44.4,16.1,828,"1,961",42.2,691,240,34.7,"2,614",76.9,22.0
UT Martin (OVC),,279,779,24.3,455,14.2,4,"1,319",41.22,514,667,77.1,325,10.16,8.7,21,11,65.6,"1,220",38.1,3.1,"2,455",76.7,4.8,994,31.06,340,10.63,415,366,1.13,35.8,908,"2,045",44.4,16.1,904,"2,170",41.7,886,288,32.5,"2,609",81.5,20.8
UTEP (CUSA),,194,609,17.9,677,19.9,12,"1,124",33.06,558,809,69.0,361,10.62,5.7,18,16,52.9,"1,170",34.4,-1.4,"2,348",69.1,3.6,763,22.44,636,18.71,439,500,0.88,31.9,859,"1,922",44.7,16.4,798,"1,768",45.1,608,194,31.9,"2,470",72.6,23.8
UTRGV (WAC),,160,547,17.6,563,18.2,18,"1,037",33.45,513,728,70.5,290,9.35,5.2,6,25,19.4,"1,223",39.5,-6.0,"2,473",79.8,-9.4,747,24.1,448,14.45,400,434,0.92,29.3,754,"1,801",41.9,16.5,890,"1,898",46.9,638,221,34.6,"2,181",70.4,23.5
UTSA (AAC),,311,922,28.8,573,17.9,17,"1,289",40.28,498,701,71.0,419,13.09,9.7,11,21,34.4,"1,221",38.2,2.1,"2,591",81.0,-3.4,870,27.19,303,9.47,444,360,1.23,33.7,837,"2,040",41.0,15.6,908,"2,032",44.7,761,280,36.8,"2,483",77.6,21.9
Utah (Pac-12),,345,933,25.2,587,15.9,5,"1,438",38.86,406,625,65.0,370,10.0,9.3,22,15,59.5,"1,344",36.3,2.5,"2,708",73.2,5.6,"1,068",28.86,375,10.14,654,426,1.54,37.0,"1,082","2,309",46.9,11.0,"1,002","2,347",42.7,855,287,33.6,"2,915",78.8,16.9
Utah St. (Mountain West),8,226,678,19.4,594,17.0,6,"1,254",35.83,564,783,72.0,332,9.49,6.5,28,7,80.0,"1,157",33.1,2.8,"2,497",71.3,8.3,922,26.34,417,11.91,572,385,1.49,33.3,999,"2,036",49.1,16.1,906,"2,070",43.8,755,221,29.3,"2,788",79.7,22.4
Utah Valley (WAC),,154,540,16.9,578,18.1,8,"1,179",36.84,443,655,67.6,335,10.47,4.8,16,16,50.0,"1,148",35.9,1.0,"2,195",68.6,0.1,844,26.38,409,12.78,477,395,1.21,28.5,801,"1,851",43.3,13.8,774,"1,834",42.2,629,202,32.1,"2,199",68.7,20.5
VCU (Atlantic 10),,322,911,24.0,625,16.4,5,"1,336",35.16,563,721,78.1,343,9.03,8.5,24,14,63.2,"1,259",33.1,2.0,"2,534",66.7,4.3,993,26.13,425,11.18,515,462,1.11,35.3,906,"2,059",44.0,14.8,870,"2,138",40.7,831,260,31.3,"2,697",71.0,19.0
VMI (SoCon),,210,673,21.0,539,16.8,15,"1,170",36.56,358,517,69.2,299,9.34,6.6,4,28,12.5,"1,250",39.1,-2.5,"2,644",82.6,-13.8,871,27.22,375,11.72,335,507,0.66,31.2,818,"1,935",42.3,11.2,969,"2,092",46.3,821,293,35.7,"2,204",68.9,16.2
Valparaiso (MVC),,234,721,22.5,521,16.3,7,"1,064",33.25,337,471,71.5,320,10.0,7.3,7,25,21.9,"1,233",38.5,-5.3,"2,416",75.5,-7.9,744,23.25,396,12.38,384,353,1.09,32.5,796,"1,961",40.6,10.5,893,"1,870",47.8,661,234,35.4,"2,163",67.6,14.7
Vanderbilt (SEC),,209,738,23.1,489,15.3,3,"1,102",34.44,468,660,70.9,344,10.75,6.5,9,23,28.1,"1,189",37.2,-2.7,"2,428",75.9,-8.0,758,23.69,347,10.84,300,333,0.9,28.3,748,"1,877",39.9,14.6,858,"1,881",45.6,744,278,37.4,"2,173",67.9,20.6
Vermont (America East),13,300,878,25.1,488,13.9,2,"1,212",34.63,406,567,71.6,268,7.66,8.6,28,7,80.0,"1,183",33.8,0.8,"2,205",63.0,8.6,944,26.97,351,10.03,478,322,1.48,34.2,900,"1,980",45.5,11.6,805,"1,982",40.6,710,223,31.4,"2,506",71.6,16.2
Villanova (Big East),,315,933,27.4,520,15.3,5,"1,184",34.82,421,521,80.8,288,8.47,9.3,18,16,52.9,"1,157",34.0,0.8,"2,231",65.6,4.6,896,26.35,361,10.62,437,327,1.34,33.8,826,"1,945",42.5,12.4,788,"1,926",40.9,872,286,32.8,"2,388",70.2,15.3
Virginia (ACC),10,220,615,18.1,460,13.5,5,"1,107",32.56,304,477,63.7,298,8.76,6.5,23,11,67.6,"1,181",34.7,-2.2,"2,031",59.7,3.2,809,23.79,408,12.0,509,274,1.86,35.8,808,"1,887",42.8,8.9,732,"1,805",40.6,715,218,30.5,"2,140",62.9,14.0
Virginia Tech (ACC),,276,792,23.3,540,15.9,10,"1,101",32.38,499,629,79.3,263,7.74,8.1,19,15,55.9,"1,085",31.9,0.5,"2,413",71.0,3.9,838,24.65,391,11.5,514,376,1.37,34.8,886,"1,905",46.5,14.7,879,"1,943",45.2,658,223,33.9,"2,547",74.9,18.5
Wagner (NEC),16,238,727,22.0,507,15.4,8,"1,183",35.85,349,496,70.4,369,11.18,7.2,17,16,51.5,"1,162",35.2,0.6,"2,083",63.1,0.6,814,24.67,367,11.12,421,326,1.29,32.7,758,"1,913",39.6,10.6,753,"1,786",42.2,727,218,30.0,"2,103",63.7,15.0
Wake Forest (ACC),,278,764,21.8,542,15.5,9,"1,197",34.2,519,653,79.5,296,8.46,7.9,21,14,60.0,"1,140",32.6,1.6,"2,473",70.7,7.4,901,25.74,397,11.34,429,375,1.14,36.4,968,"2,042",47.4,14.8,885,"2,045",43.3,725,240,33.1,"2,733",78.1,18.7
Washington (Pac-12),,258,728,22.8,585,18.3,12,"1,151",35.97,459,636,72.2,301,9.41,8.1,17,15,53.1,"1,157",36.2,-0.2,"2,468",77.1,3.5,850,26.56,371,11.59,482,374,1.29,35.4,931,"1,980",47.0,14.3,886,"2,003",44.2,698,235,33.7,"2,579",80.6,19.9
