Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG
Clemson (ACC),,944,27.76,6.8,485.0,376.0,1.29,"2,540",74.7,798,"1,970",40.5,23.0,11.0,67.6,460.0,586.0,78.5,17.2,589.0,17.3,6.0,383.0,11.26,804.0,267.0,33.2,282.0,775,22.8,"2,308",67.9,899,"1,923",46.7,"1,128",33.2,2.0,252.0,7.41,36.4,8.3,"1,196",35.18,13.5
Cleveland St. (Horizon),,804,22.97,3.1,465.0,406.0,1.15,"2,512",71.8,857,"2,022",42.4,21.0,14.0,60.0,418.0,614.0,68.1,17.5,582.0,16.6,6.0,488.0,13.94,764.0,244.0,31.9,178.0,580,16.6,"2,405",68.7,958,"2,110",45.4,"1,246",35.6,-0.1,438.0,12.51,30.7,5.1,"1,242",35.49,11.9
Coastal Carolina (Sun Belt),,804,25.94,-0.7,383.0,379.0,1.01,"2,273",73.3,808,"1,893",42.7,11.0,20.0,35.5,418.0,533.0,78.4,17.2,497.0,16.0,9.0,358.0,11.55,859.0,305.0,35.5,223.0,705,22.7,"2,294",74.0,816,"1,880",43.4,"1,098",35.4,1.8,349.0,11.26,31.6,7.2,"1,153",37.19,13.5
Col. of Charleston (CAA),12,939,26.83,12.9,478.0,418.0,1.14,"2,804",80.1,899,"2,085",43.1,31.0,4.0,88.6,538.0,723.0,74.4,20.7,590.0,16.9,4.0,482.0,13.77,671.0,205.0,30.6,348.0,"1,051",30.0,"2,353",67.2,959,"2,202",43.6,"1,189",34.0,6.3,472.0,13.49,33.1,9.9,"1,411",40.31,15.4
Colgate (Patriot),15,900,25.71,8.8,637.0,357.0,1.78,"2,733",78.1,937,"2,056",45.6,26.0,9.0,74.3,363.0,549.0,66.1,15.7,438.0,12.5,2.0,432.0,12.34,753.0,270.0,35.9,286.0,709,20.3,"2,426",69.3,"1,042","2,038",51.1,"1,103",31.5,2.2,279.0,7.97,40.3,8.2,"1,179",33.69,10.4
Colorado (Pac-12),,912,26.06,2.8,454.0,463.0,0.98,"2,445",69.9,842,"1,982",42.5,18.0,17.0,51.4,428.0,616.0,69.5,17.6,566.0,16.2,3.0,470.0,13.43,676.0,217.0,32.1,229.0,712,20.3,"2,348",67.1,894,"2,059",43.4,"1,175",33.6,3.6,388.0,11.09,32.2,6.5,"1,300",37.14,12.2
Colorado St. (Mountain West),,817,24.76,1.1,545.0,368.0,1.48,"2,391",72.5,827,"1,859",44.5,15.0,18.0,45.5,394.0,529.0,74.5,16.0,537.0,16.3,5.0,400.0,12.12,809.0,295.0,36.5,251.0,689,20.9,"2,355",71.4,873,"1,790",48.8,"1,093",33.1,-2.4,197.0,5.97,36.4,7.6,"1,014",30.73,11.9
Columbia (Ivy League),,702,24.21,-8.0,340.0,401.0,0.85,"1,966",67.8,819,"1,792",45.7,7.0,22.0,24.1,348.0,487.0,71.5,16.8,485.0,16.7,7.0,379.0,13.07,634.0,210.0,33.1,226.0,714,24.6,"2,197",75.8,696,"1,728",40.3,"1,145",39.5,-5.1,296.0,10.21,31.7,7.8,998,34.41,12.0
Coppin St. (MEAC),,767,23.97,-11.2,360.0,477.0,0.75,"2,304",72.0,937,"2,029",46.2,9.0,23.0,28.1,478.0,665.0,71.9,20.8,629.0,19.7,15.0,440.0,13.75,839.0,285.0,34.0,268.0,794,24.8,"2,661",83.2,779,"1,791",43.5,"1,325",41.4,-11.0,207.0,6.47,33.8,8.4,974,30.44,14.9
Cornell (Ivy League),,673,24.04,5.6,489.0,348.0,1.41,"2,287",81.7,774,"1,643",47.1,17.0,11.0,60.7,355.0,490.0,72.4,17.5,466.0,16.6,3.0,446.0,15.93,650.0,231.0,35.5,300.0,851,30.4,"2,129",76.0,816,"1,738",47.0,964,34.4,0.0,291.0,10.39,35.3,10.7,964,34.43,12.7
